"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
-2.363333479E-4,4.426466370E1,-2.777501678E1,-2.753448486E1,5.906741797E1
9.806666523E-3,4.426466370E1,-2.777501678E1,-2.753448486E1,5.906741797E1
1.985066663E-2,4.401824188E1,-2.822458649E1,-2.820275879E1,5.941067668E1
2.989466675E-2,4.390038300E1,-2.819881821E1,-2.842163086E1,5.941553733E1
3.993766662E-2,4.393761444E1,-2.763909912E1,-2.875048828E1,5.933821989E1
4.998166673E-2,4.397773743E1,-2.759535217E1,-2.957135010E1,5.974955730E1
6.002566684E-2,4.099744415E1,-2.735214615E1,-2.978021240E1,5.758290872E1
7.006866671E-2,4.071024323E1,-2.768614578E1,-3.064019775E1,5.798851861E1
8.011266682E-2,4.053402710E1,-2.756952286E1,-3.102752686E1,5.801545799E1
9.015666647E-2,4.041374207E1,-2.731752014E1,-3.067260742E1,5.762227261E1
1.001996668E-1,4.020890808E1,-2.758871078E1,-3.128234863E1,5.793512396E1
1.102436665E-1,3.998867035E1,-2.765437698E1,-3.129589844E1,5.782120356E1
1.202866668E-1,3.955218506E1,-2.771216965E1,-3.165863037E1,5.774606971E1
1.303306664E-1,3.949669647E1,-2.787050247E1,-3.211267090E1,5.803427929E1
1.403746665E-1,4.257460785E1,-2.776165390E1,-3.208984375E1,6.010877417E1
1.504176669E-1,4.219537354E1,-2.782959366E1,-3.270440674E1,6.020393717E1
1.604616665E-1,4.187779999E1,-2.775401306E1,-3.279516602E1,5.999631894E1
1.705056666E-1,4.177404022E1,-2.752556992E1,-3.308758545E1,5.997929432E1
1.805486665E-1,4.178029633E1,-2.734492874E1,-3.393560791E1,6.037353537E1
1.905926666E-1,4.188888550E1,-2.676571655E1,-3.387951660E1,6.015732670E1
2.006366667E-1,4.462804794E1,-2.691033173E1,-3.456030273E1,6.253193698E1
2.106796666E-1,4.439880753E1,-2.690347290E1,-3.527960205E1,6.276703980E1
2.207236667E-1,4.429272842E1,-2.661519241E1,-3.519982910E1,6.252393324E1
2.307666666E-1,4.411073685E1,-2.666707230E1,-3.555920410E1,6.262065830E1
2.408106667E-1,4.388224411E1,-2.633155441E1,-3.547290039E1,6.226820030E1
2.508551665E-1,4.367274857E1,-2.629922485E1,-3.601776123E1,6.241984716E1
2.608981668E-1,4.335510635E1,-2.626236343E1,-3.644616699E1,6.243156308E1
2.709421664E-1,4.254752350E1,-2.608985901E1,-3.632940674E1,6.173166362E1
2.809861666E-1,4.230484772E1,-2.621448135E1,-3.707324219E1,6.205904011E1
2.910291664E-1,4.222022247E1,-2.594019699E1,-3.700781250E1,6.184673954E1
3.010731665E-1,4.200917053E1,-2.614588547E1,-3.705218506E1,6.181619653E1
3.111171667E-1,4.065183258E1,-2.644462204E1,-3.764770508E1,6.139413021E1
3.211601665E-1,4.072902679E1,-2.620619583E1,-3.747576904E1,6.123766479E1
3.312041666E-1,4.058770752E1,-2.649988937E1,-3.771600342E1,6.141744909E1
3.412471665E-1,4.051229095E1,-2.620438385E1,-3.777441406E1,6.127660083E1
3.512911666E-1,4.072821808E1,-2.585869980E1,-3.757659912E1,6.115113167E1
3.613351667E-1,4.056194305E1,-2.590917969E1,-3.797570801E1,6.130832908E1
3.713781666E-1,4.045980072E1,-2.565370178E1,-3.792492676E1,6.110161994E1
3.814221667E-1,4.046849823E1,-2.556827164E1,-3.828234863E1,6.129416025E1
3.914661668E-1,4.043553925E1,-2.565827179E1,-3.874407959E1,6.159937864E1
4.015091667E-1,4.037666321E1,-2.546202850E1,-3.830871582E1,6.120578024E1
4.115531668E-1,4.013937378E1,-2.565391541E1,-3.862371826E1,6.132767985E1
4.215971665E-1,4.013377380E1,-2.575676727E1,-3.813702393E1,6.106196405E1
4.316401668E-1,4.024017334E1,-2.575379181E1,-3.801434326E1,6.105423521E1
4.416841664E-1,3.990068054E1,-2.601832581E1,-3.853851318E1,6.127180905E1
4.517271668E-1,3.991999054E1,-2.560024261E1,-3.816644287E1,6.087409488E1
4.617711669E-1,3.978652954E1,-2.607105637E1,-3.862982178E1,6.127749214E1
4.718151665E-1,3.969261932E1,-2.588951492E1,-3.888061523E1,6.129823205E1
4.818581669E-1,3.980303955E1,-2.547108078E1,-3.873583984E1,6.110256297E1
4.919021665E-1,3.980303955E1,-2.547108078E1,-3.873583984E1,6.110256297E1
5.019461666E-1,3.958876801E1,-2.568719864E1,-3.920336914E1,6.135150266E1
5.119891665E-1,3.941390991E1,-2.547268677E1,-3.910137939E1,6.108381075E1
5.220331666E-1,3.951960373E1,-2.555881882E1,-3.946398926E1,6.142034473E1
5.320771667E-1,3.923839569E1,-2.540293503E1,-3.995330811E1,6.149168751E1
5.421201666E-1,3.906143570E1,-2.505590057E1,-3.989013672E1,6.119490926E1
5.521641667E-1,3.868078613E1,-2.495437241E1,-4.036029053E1,6.121990664E1
5.622071666E-1,3.831859970E1,-2.487455368E1,-4.034588623E1,6.094956144E1
5.722511667E-1,3.679536057E1,-2.469943237E1,-4.016381836E1,5.980880223E1
