"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.610083366E-2,-1.244270325E0,-1.068402863E1,-4.902563477E1,5.019172781E1
2.614483377E-2,-1.147453308E0,-1.045956421E1,-4.882055664E1,4.994162476E1
3.618783364E-2,-1.205223083E0,-1.023670197E1,-4.889031982E1,4.996504781E1
4.623183375E-2,-1.023679733E0,-9.493629456E0,-4.938696289E1,5.030158073E1
5.627583340E-2,-7.580451965E-1,-9.106811523E0,-4.919140625E1,5.003302007E1
6.631883373E-2,-5.797805786E-1,-8.465873718E0,-4.976568604E1,5.048396448E1
7.636283338E-2,-3.581619263E-1,-7.804565430E0,-4.946453857E1,5.007774054E1
8.640633337E-2,-3.729934692E-1,-7.121757507E0,-4.916101074E1,4.967558285E1
9.644933371E-2,-4.820423126E-1,-6.399978638E0,-4.974316406E1,5.015550281E1
1.064933334E-1,-5.871315002E-1,-5.880775452E0,-4.948120117E1,4.983289589E1
1.165373335E-1,-6.400623322E-1,-5.126274109E0,-4.952502441E1,4.979373865E1
1.265813336E-1,-6.825580597E-1,-4.221359253E0,-5.002679443E1,5.020922147E1
1.366243334E-1,-6.651134491E-1,-3.502067566E0,-4.969317627E1,4.982086532E1
1.466683336E-1,-6.975669861E-1,-2.573036194E0,-5.023211670E1,5.030280969E1
1.567123337E-1,-9.107131958E-1,-1.610610962E0,-4.972521973E1,4.975963166E1
1.667553335E-1,-1.149732590E0,-4.138488770E-1,-4.998205566E1,4.999699035E1
1.767993337E-1,-1.200485229E0,7.601318359E-1,-5.028845215E1,5.030852199E1
1.868433338E-1,-1.499704361E0,1.712638855E0,-4.990350342E1,4.995539909E1
1.968863336E-1,-1.551303864E0,2.887199402E0,-5.041766357E1,5.052408598E1
2.069303337E-1,-1.693698883E0,3.860389709E0,-4.992028809E1,5.009796789E1
2.169743334E-1,-1.955913544E0,4.647834778E0,-4.978930664E1,5.004401085E1
2.270173337E-1,-2.064512253E0,5.484184265E0,-5.015783691E1,5.049898110E1
2.370613334E-1,-2.270439148E0,6.064842224E0,-4.927716064E1,4.970086283E1
2.471053335E-1,-2.270439148E0,6.064842224E0,-4.927716064E1,4.970086283E1
2.571483334E-1,-2.504138947E0,6.330093384E0,-4.944903564E1,4.991540764E1
2.671923335E-1,-3.015926361E0,6.605796814E0,-4.946166992E1,4.999189089E1
2.772363336E-1,-3.189439774E0,6.864501953E0,-4.874584961E1,4.933002906E1
2.872803337E-1,-3.769952774E0,6.984794617E0,-4.948828125E1,5.012075300E1
2.973233336E-1,-4.288370132E0,7.352119446E0,-4.906976318E1,4.980246417E1
3.073673337E-1,-4.731210709E0,7.869735718E0,-4.883337402E1,4.968918910E1
3.174113338E-1,-5.204893112E0,8.388381958E0,-4.879748535E1,4.978604665E1
3.274543337E-1,-5.574535370E0,8.982406616E0,-4.855151367E1,4.968911906E1
3.374983338E-1,-5.821165085E0,9.734031677E0,-4.881585693E1,5.011611741E1
