"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
-3.463332541E-4,1.249159431E1,-3.522463226E1,-1.056744385E1,3.883922651E1
9.696666617E-3,1.256228065E1,-3.520275879E1,-1.103540039E1,3.897210776E1
1.974066673E-2,1.265381622E1,-3.514373779E1,-1.114013672E1,3.897825057E1
2.978366660E-2,1.281800842E1,-3.497551727E1,-1.171295166E1,3.904844920E1
3.982666647E-2,1.280299759E1,-3.470378494E1,-1.262805176E1,3.908627800E1
4.986966681E-2,1.257144547E1,-3.465708923E1,-1.283477783E1,3.903699011E1
5.991266668E-2,1.221038628E1,-3.438886642E1,-1.383453369E1,3.902668304E1
6.995566655E-2,1.181598854E1,-3.405569077E1,-1.440838623E1,3.882021706E1
7.999866642E-2,1.171850777E1,-3.388173676E1,-1.447277832E1,3.866208507E1
9.004166676E-2,1.171850777E1,-3.388173676E1,-1.447277832E1,3.866208507E1
1.000846666E-1,1.163978195E1,-3.371243286E1,-1.555694580E1,3.891055404E1
1.101276665E-1,1.130712891E1,-3.358331299E1,-1.585150146E1,3.881958493E1
1.201706668E-1,1.066992188E1,-3.329248810E1,-1.684777832E1,3.880830621E1
1.302136667E-1,1.009005356E1,-3.322084045E1,-1.762078857E1,3.893488938E1
1.402566666E-1,9.373725891E0,-3.319476700E1,-1.775634766E1,3.879493750E1
1.503006667E-1,8.632055283E0,-3.317252731E1,-1.868560791E1,3.903947860E1
1.603436666E-1,8.107530594E0,-3.308251572E1,-1.857867432E1,3.879886645E1
1.703866664E-1,7.833160400E0,-3.308623123E1,-1.834844971E1,3.863576977E1
1.804296668E-1,7.322383881E0,-3.285603333E1,-1.891888428E1,3.861425143E1
1.904726666E-1,6.825286865E0,-3.273255920E1,-1.911816406E1,3.851634939E1
2.005156665E-1,6.108964920E0,-3.242988586E1,-1.989300537E1,3.853243585E1
2.105586668E-1,5.539003372E0,-3.210241318E1,-2.058532715E1,3.853571310E1
2.206016667E-1,5.244148254E0,-3.183927917E1,-2.060076904E1,3.828357970E1
2.306446666E-1,5.039743423E0,-3.147180176E1,-2.163500977E1,3.852203223E1
2.406876665E-1,4.554353714E0,-3.104857635E1,-2.192736816E1,3.828270766E1
2.507306668E-1,4.200010300E0,-3.062800217E1,-2.284136963E1,3.843751774E1
2.607736667E-1,3.471023560E0,-3.022382355E1,-2.307592773E1,3.818410605E1
2.708166665E-1,2.917013168E0,-3.000813293E1,-2.309387207E1,3.797794011E1
2.808606667E-1,2.770872116E0,-2.986508560E1,-2.382159424E1,3.830234226E1
2.909036665E-1,2.714345932E0,-2.988956070E1,-2.349707031E1,3.811647709E1
3.009466669E-1,2.583694458E0,-2.994597626E1,-2.319506836E1,3.796640841E1
3.109896667E-1,2.482290268E0,-3.006504822E1,-2.344927979E1,3.820912995E1
3.210326666E-1,2.441541672E0,-3.015983200E1,-2.297216797E1,3.799075010E1
3.310756665E-1,2.267557144E0,-3.038891602E1,-2.279595947E1,3.805632405E1
3.411186668E-1,2.221761703E0,-3.065697861E1,-2.232928467E1,3.799188750E1
3.511616667E-1,2.273790359E0,-3.101918793E1,-2.165350342E1,3.789768268E1
3.612046666E-1,1.977914810E0,-3.115007782E1,-2.192773438E1,3.814531465E1
3.712476664E-1,2.078525543E0,-3.134246826E1,-2.179266357E1,3.823075687E1
3.812906668E-1,1.913084030E0,-3.131985092E1,-2.203155518E1,3.834034919E1
3.913330417E-1,1.733854294E0,-3.138013840E1,-2.243395996E1,3.861349370E1
4.013760416E-1,1.430191040E0,-3.138208389E1,-2.191473389E1,3.830321393E1
4.114200417E-1,1.113985062E0,-3.131079865E1,-2.218634033E1,3.839063391E1
4.214630416E-1,7.307643890E-1,-3.126581955E1,-2.190875244E1,3.818479962E1
4.315060414E-1,6.725864410E-1,-3.140428162E1,-2.201489258E1,3.835800792E1
4.415490418E-1,4.338226318E-1,-3.147011566E1,-2.219281006E1,3.851074136E1
4.515920416E-1,3.463039398E-1,-3.176814270E1,-2.188586426E1,3.857882672E1
4.616350415E-1,5.092258453E-1,-3.170057678E1,-2.206665039E1,3.862800718E1
4.716780419E-1,1.619548798E-1,-3.179415512E1,-2.167877197E1,3.848199168E1
4.817210417E-1,-3.956813812E-1,-3.187808609E1,-2.134472656E1,3.836621285E1
4.917640416E-1,-7.235221863E-1,-3.167271423E1,-2.211682129E1,3.863726304E1
5.018070415E-1,-8.745422363E-1,-3.155137634E1,-2.219952393E1,3.858850912E1
5.118500418E-1,-9.465675354E-1,-3.118330765E1,-2.263635254E1,3.854476777E1
5.218930417E-1,-1.220325470E0,-3.093287659E1,-2.309362793E1,3.862185520E1
5.319370418E-1,-1.654516220E0,-3.057353973E1,-2.307293701E1,3.833848169E1
5.419800417E-1,-1.959918976E0,-3.027527237E1,-2.385400391E1,3.859335308E1
5.520230415E-1,-2.219266891E0,-3.011824799E1,-2.415716553E1,3.867302230E1
5.620660414E-1,-2.515441895E0,-2.967082977E1,-2.432147217E1,3.844762146E1
5.721090417E-1,-2.813404083E0,-2.948193359E1,-2.501977539E1,3.876968934E1
5.821520416E-1,-2.813404083E0,-2.948193359E1,-2.501977539E1,3.876968934E1
5.921950415E-1,-2.840606689E0,-2.927578735E1,-2.500207520E1,3.860368552E1
6.022380418E-1,-3.028747559E0,-2.891336060E1,-2.536163330E1,3.857937501E1
