"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.768333398E-3,2.354916763E1,-3.978938293E1,-1.701641846E1,4.926780681E1
1.481233304E-2,2.346126938E1,-3.964234161E1,-1.709539795E1,4.913449949E1
2.485633316E-2,2.361150742E1,-3.945209503E1,-1.714941406E1,4.907212536E1
3.490033327E-2,2.366004944E1,-3.926178360E1,-1.744543457E1,4.904720969E1
4.494533315E-2,2.402774811E1,-3.859090424E1,-1.791711426E1,4.886321267E1
5.498933326E-2,2.446001816E1,-3.796778107E1,-1.847015381E1,4.879540418E1
6.503333338E-2,2.507503510E1,-3.752864838E1,-1.957293701E1,4.919610449E1
7.507733349E-2,2.557844925E1,-3.684994507E1,-1.990673828E1,4.907599970E1
8.512133313E-2,2.627697563E1,-3.621837234E1,-2.107775879E1,4.946232768E1
9.516633349E-2,2.663950920E1,-3.532799530E1,-2.163806152E1,4.925379588E1
1.052103331E-1,2.701603699E1,-3.428764725E1,-2.184301758E1,4.881215448E1
1.152543332E-1,2.700555801E1,-3.346879196E1,-2.296496582E1,4.875294713E1
1.252983334E-1,2.706862640E1,-3.281113815E1,-2.341467285E1,4.855438422E1
1.353423335E-1,2.699531555E1,-3.204248428E1,-2.449011230E1,4.853074759E1
1.453873334E-1,2.693479919E1,-3.124232864E1,-2.545495605E1,4.847186085E1
1.554313335E-1,2.719669342E1,-3.068643570E1,-2.574365234E1,4.841542218E1
1.654753331E-1,2.711637497E1,-2.986791229E1,-2.671038818E1,4.838217454E1
1.755193332E-1,2.707946968E1,-2.910564423E1,-2.733966064E1,4.824824606E1
1.855633333E-1,2.698296547E1,-2.855085373E1,-2.785754395E1,4.815884580E1
1.956083332E-1,2.674931908E1,-2.764508820E1,-2.912603760E1,4.825042009E1
2.056523333E-1,2.678122139E1,-2.701263809E1,-2.949548340E1,4.813418719E1
2.156963334E-1,2.667591095E1,-2.628330612E1,-3.018273926E1,4.809796414E1
2.257407918E-1,2.648873901E1,-2.564218140E1,-3.052313232E1,4.786268242E1
2.357847914E-1,2.646180725E1,-2.504229355E1,-3.082666016E1,4.772448727E1
2.458297918E-1,2.620865250E1,-2.453200531E1,-3.167950439E1,4.787800903E1
