"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.449079137E-2,2.152655411E1,-1.925709534E1,-3.250207520E1,4.348118150E1
3.453479148E-2,2.171894836E1,-1.889692688E1,-3.288336182E1,4.370494306E1
4.457979137E-2,2.178377533E1,-1.850919342E1,-3.300671387E1,4.366424474E1
5.462379148E-2,2.214660263E1,-1.755018616E1,-3.337518311E1,4.373081167E1
6.466779159E-2,2.214660263E1,-1.755018616E1,-3.337518311E1,4.373081167E1
7.471279148E-2,2.237019157E1,-1.695474625E1,-3.338732910E1,4.361883350E1
8.475679159E-2,2.261657906E1,-1.607415771E1,-3.384313965E1,4.376352700E1
9.480079170E-2,2.275308418E1,-1.519729233E1,-3.382611084E1,4.350708343E1
1.048457916E-1,2.264625359E1,-1.453959656E1,-3.435888672E1,4.364385141E1
1.148897917E-1,2.250702858E1,-1.412255096E1,-3.477508545E1,4.376436163E1
1.249337913E-1,2.241595650E1,-1.379637527E1,-3.461425781E1,4.348519197E1
1.349777915E-1,2.216722679E1,-1.339875412E1,-3.536126709E1,4.383299859E1
1.450227913E-1,2.202066994E1,-1.297962189E1,-3.533831787E1,4.361395647E1
1.550667915E-1,2.161934090E1,-1.247235489E1,-3.544494629E1,4.335089105E1
1.651107916E-1,2.140323830E1,-1.174338913E1,-3.615106201E1,4.362230029E1
1.751557915E-1,2.127678108E1,-1.109230042E1,-3.618981934E1,4.342169464E1
1.851997916E-1,2.110928154E1,-1.040624619E1,-3.659619141E1,4.351060735E1
1.952437917E-1,2.126452446E1,-9.704093933E0,-3.668255615E1,4.349665924E1
2.052887916E-1,2.135253716E1,-9.202655792E0,-3.670269775E1,4.344775873E1
2.153327917E-1,2.109967613E1,-8.762069702E0,-3.707739258E1,4.355115657E1
2.253767913E-1,2.100593376E1,-8.634483337E0,-3.700482178E1,4.341843376E1
2.354217917E-1,2.067625999E1,-8.245018005E0,-3.753741455E1,4.364109921E1
2.454657913E-1,2.056493187E1,-8.095901489E0,-3.771435547E1,4.371307187E1
2.555097914E-1,2.023125648E1,-7.801559448E0,-3.773730469E1,4.352323786E1
2.655547913E-1,1.977803993E1,-7.434509277E0,-3.811907959E1,4.358333421E1
2.755987914E-1,1.939323235E1,-7.249038696E0,-3.807769775E1,4.334232445E1
2.856427915E-1,1.912416840E1,-6.786422729E0,-3.814770508E1,4.320922069E1
2.956867917E-1,1.926166534E1,-6.491592407E0,-3.862634277E1,4.364798827E1
3.057317915E-1,1.929507828E1,-6.271293640E0,-3.815637207E1,4.321501937E1
3.157757916E-1,1.925324631E1,-6.089309692E0,-3.841027832E1,4.339489217E1
3.258197913E-1,1.941845894E1,-6.113571167E0,-3.845263672E1,4.350928143E1
3.358647916E-1,1.940756798E1,-6.091636658E0,-3.801391602E1,4.311402954E1
3.459087913E-1,1.928589821E1,-6.011405945E0,-3.853778076E1,4.351141709E1
3.559527914E-1,1.878993797E1,-6.084136963E0,-3.834967041E1,4.313670957E1
3.659977913E-1,1.853912735E1,-6.257110596E0,-3.868389893E1,4.335083289E1
3.760417914E-1,1.817206192E1,-6.291542053E0,-3.890417480E1,4.339749017E1
3.860857915E-1,1.784836578E1,-6.419731140E0,-3.868975830E1,4.308914604E1
3.961297916E-1,1.739812088E1,-6.642601013E0,-3.891705322E1,4.314343276E1
4.061747915E-1,1.750439835E1,-6.764274597E0,-3.869354248E1,4.300406495E1
4.162187916E-1,1.736092758E1,-6.789825439E0,-3.867211914E1,4.293059905E1
4.262627913E-1,1.724067307E1,-6.955558777E0,-3.915332031E1,4.334285520E1
4.363077916E-1,1.713530731E1,-7.199386597E0,-3.854577637E1,4.279283585E1
4.463517913E-1,1.687297058E1,-7.785278320E0,-3.874426270E1,4.297005453E1
4.563957914E-1,1.667787170E1,-8.082580566E0,-3.898687744E1,4.316776721E1
4.664407913E-1,1.648052597E1,-8.479743958E0,-3.848687744E1,4.271713390E1
4.764847914E-1,1.636482239E1,-8.818977356E0,-3.886065674E1,4.307821277E1
4.865287915E-1,1.599701309E1,-9.100952148E0,-3.853887939E1,4.270804354E1
4.965737914E-1,1.559119797E1,-9.457221985E0,-3.875616455E1,4.283181986E1
5.066177915E-1,1.525584030E1,-9.991233826E0,-3.910729980E1,4.315027595E1
5.166617916E-1,1.478876877E1,-1.020596313E1,-3.865142822E1,4.262396355E1
5.267067915E-1,1.446733284E1,-1.047169113E1,-3.908782959E1,4.297462573E1
5.367507916E-1,1.420380211E1,-1.065539932E1,-3.867291260E1,4.255443218E1
5.467947917E-1,1.384938240E1,-1.081670380E1,-3.854663086E1,4.236330044E1
5.568387914E-1,1.384938240E1,-1.081670380E1,-3.854663086E1,4.236330044E1
5.668837917E-1,1.395167542E1,-1.072339249E1,-3.908502197E1,4.286349654E1
5.769277913E-1,1.390013885E1,-1.079851532E1,-3.896588135E1,4.275700764E1
5.869717915E-1,1.374295044E1,-1.081429291E1,-3.911810303E1,4.284907936E1
5.970167913E-1,1.342790222E1,-1.081752777E1,-3.916235352E1,4.279038908E1
6.070607915E-1,1.320346832E1,-1.079903030E1,-3.888702393E1,4.246352860E1
6.171047916E-1,1.293967438E1,-1.061981964E1,-3.908013916E1,4.251438602E1
6.271497915E-1,1.258653259E1,-1.071159363E1,-3.917211914E1,4.251604355E1
6.371937916E-1,1.247610855E1,-1.060510254E1,-3.950531006E1,4.276436609E1
6.472377917E-1,1.211743164E1,-1.045915985E1,-3.944403076E1,4.256827148E1
6.572827916E-1,1.222477150E1,-1.037571716E1,-3.910479736E1,4.226447352E1
6.673267917E-1,1.200463486E1,-1.023180771E1,-3.950573730E1,4.253827015E1
6.773707913E-1,1.168298912E1,-1.023328018E1,-3.958068848E1,4.251873891E1
6.874147914E-1,1.100567627E1,-1.020785522E1,-3.922814941E1,4.200205858E1
6.974597913E-1,1.050162125E1,-9.950424194E0,-3.988732910E1,4.242987171E1
7.075037914E-1,9.947656631E0,-1.001675034E1,-3.974621582E1,4.217881971E1
7.175477915E-1,9.463987350E0,-9.837074280E0,-3.999151611E1,4.225702839E1
7.275927914E-1,9.246118546E0,-9.671123505E0,-3.998681641E1,4.216594389E1
7.376367915E-1,9.200004578E0,-9.557117462E0,-3.985876465E1,4.200832891E1
7.476807917E-1,8.997209549E0,-9.289688110E0,-4.010101318E1,4.213477594E1
7.577257915E-1,9.024505615E0,-9.184104919E0,-4.006280518E1,4.208108653E1
7.677697917E-1,8.979965210E0,-8.965072632E0,-4.014849854E1,4.210598814E1
7.778137913E-1,8.580041885E0,-8.812675476E0,-4.020788574E1,4.204705036E1
7.878587916E-1,8.485916138E0,-8.556152344E0,-4.029083252E1,4.205436601E1
7.979027913E-1,8.223920822E0,-8.264076233E0,-4.034906006E1,4.199969616E1
8.079467914E-1,7.811044693E0,-8.084213257E0,-4.012469482E1,4.166962992E1
8.179907915E-1,7.795688629E0,-7.862220764E0,-4.011920166E1,4.161895744E1
8.280357914E-1,7.728004456E0,-7.608230591E0,-4.070074463E1,4.212075307E1
8.380797915E-1,7.877035141E0,-7.434867859E0,-4.046008301E1,4.188488104E1
8.481237916E-1,7.837629318E0,-7.143974304E0,-4.082434082E1,4.217927934E1
8.581687915E-1,7.747503281E0,-6.896751404E0,-4.114190674E1,4.242929975E1
8.682127916E-1,7.962451935E0,-6.713676453E0,-4.070111084E1,4.201255189E1
8.782567913E-1,7.832750320E0,-6.680389404E0,-4.095623779E1,4.223023791E1
8.883017916E-1,7.791454315E0,-6.641296387E0,-4.065228271E1,4.192161338E1
8.983461247E-1,7.637334824E0,-6.512168884E0,-4.115875244E1,4.236484544E1
9.083901248E-1,7.547842026E0,-6.256568909E0,-4.129949951E1,4.244718169E1
9.184341249E-1,7.752098083E0,-6.176765442E0,-4.110754395E1,4.228566690E1
9.284791248E-1,7.560943604E0,-5.917961121E0,-4.133453369E1,4.243505399E1
9.385231249E-1,7.802038193E0,-5.616142273E0,-4.110198975E1,4.221121196E1
9.485671250E-1,8.081405640E0,-5.625411987E0,-4.076086426E1,4.193330934E1
9.586121249E-1,8.054496765E0,-5.434463501E0,-4.131958008E1,4.244662542E1
9.686561250E-1,8.081409454E0,-5.350929260E0,-4.120709229E1,4.233162030E1
9.787001247E-1,8.156627655E0,-5.287269592E0,-4.140612793E1,4.253179075E1
9.887451250E-1,8.104974747E0,-5.345832825E0,-4.127703857E1,4.240356657E1
9.987891247E-1,8.214302063E0,-5.460563660E0,-4.079687500E1,4.197234237E1
1.008833125E0,8.193489075E0,-5.394889832E0,-4.106555176E1,4.222105684E1
1.018878125E0,8.094867706E0,-5.410758972E0,-4.127502441E1,4.240791007E1
1.028922125E0,8.218530655E0,-5.355346680E0,-4.143273926E1,4.257811488E1
1.038966125E0,8.269292831E0,-5.396789551E0,-4.158898926E1,4.274518182E1
1.049010125E0,8.269292831E0,-5.396789551E0,-4.158898926E1,4.274518182E1
1.059055125E0,8.564029694E0,-5.566764832E0,-4.133972168E1,4.258290812E1
